Affiliate_id,Affiliate_name,City,State,Country,Latitude,Longitude
16416,CrossFit North Phoenix,Phoenix,AZ,United States,33.6651,-112.1117
16418,CrossFit BCR,Phoenix,AZ,United States,33.6397,-112.0506
16642,CrossFit Uru,Phoenix,AZ,United States,33.586,-112.1117
17152,Zero Machine CrossFit,Phoenix,AZ,United States,33.3037,-111.9812
17934,Tusk CrossFit,Phoenix,AZ,United States,33.7029,-112.1022
4599,CrossFit Untouchable,"Phoenix, AZ",AZ,United States,33.6896,-112.0964
13277,Laveen CrossFit,Phoneix,AZ,United States,33.3929,-112.1367
3161,CrossFit Prescott,Prescott,AZ,United States,34.5497,-112.4663
9288,CrossFit Prescott Valley,Prescott,AZ,United States,34.627,-112.3119
10210,Captain CrossFit,Prescott,AZ,United States,34.5466,-112.4666
14083,Red Tail CrossFit,Prescott,AZ,United States,34.5467,-112.4609
9545,CrossFit Obsession,Queen Creek,AZ,United States,33.2677,-111.6609
15579,CrossFit Queen Creek,Queen Creek,AZ,United States,33.2121,-111.6836
11260,Gila Valley CrossFit,Safford,AZ,United States,32.8345,-109.7161
78,CrossFit Blur,Scottsdale,AZ,United States,33.6187,-111.9046
1811,CrossFit Chaparral,Scottsdale,AZ,United States,33.5822,-111.942
3108,CrossFit North Scottsdale,Scottsdale,AZ,United States,33.5686,-111.8759
3823,Gainey Village CrossFit,Scottsdale,AZ,United States,33.5654,-111.9201
5752,CrossFit PHX,Scottsdale,AZ,United States,33.4718,-111.9275
6125,CrossFit Infinite Strength,Scottsdale,AZ,United States,33.5571,-111.8877
10292,Camelback CrossFit,Scottsdale,AZ,United States,33.4813,-111.9098
11042,CrossFit Water Front,Scottsdale,AZ,United States,33.5018,-111.9282
14760,CrossFit FSI,Scottsdale,AZ,United States,33.6161,-111.9156
16230,Papago CrossFit,Scottsdale,AZ,United States,33.4663,-111.9299
17174,CrossFit Back On The Bar,Scottsdale,AZ,United States,33.6207,-111.9003
18727,Power in Motion CrossFit,Scottsdale,AZ,United States,33.6385,-111.8866
20599,CrossFit Forbidden,Scottsdale,AZ,United States,33.6178,-111.9009
19772,CrossFit Huachuca,Sierra Vista,AZ,United States,31.4991,-110.2559
17723,CrossFit Hidden Valley,Somerton,AZ,United States,32.625,-114.6593
2347,CrossFit Celsius,Surprise,AZ,United States,33.6427,-112.3454
11089,CrossFit Unwavering,Surprise,AZ,United States,33.6092,-112.3573
16869,CrossFit Golden Titan,Surprise,AZ,United States,33.6415,-112.3466
2225,Free Range CrossFit,Tempe,AZ,United States,33.3793,-111.9406
2455,Desert Samurai CrossFit,Tempe,AZ,United States,,
10744,CrossFit Tempe,Tempe,AZ,United States,33.4226,-111.9068
12225,8th Street CrossFit,Tempe,AZ,United States,33.4196,-111.915
15455,CrossFit Blur South,Tempe,AZ,United States,33.4212,-111.9149
13023,CrossFit 646,Tucscon,AZ,United States,32.2971,-110.9747
485,CrossFit Northwest Tucson,Tucson,AZ,United States,32.3307,-111.0558
866,CrossFit Tucson,Tucson,AZ,United States,32.1774,-110.9182
1357,Great Times CrossFit,Tucson,AZ,United States,32.2471,-110.8579
